fuente,id_articulo,titulo,texto_articulo
LEY 1696 DE 2013.pdf,1,,"bajo el influjo del alcohol u otras sustancias psicoactivas.
CAPÍTULO II
Medidas Penales"
LEY 1696 DE 2013.pdf,2,,
LEY 1696 DE 2013.pdf,110,"de la Ley 599 de 2000, Código Penal, el cual quedará así:",
LEY 1696 DE 2013.pdf,110,Circunstancias de agravación punitiva para el homicidio culposo. La pena prevista en el artículo,"anterior se aumentará:
(…)
6. Si al momento de cometer la conducta el agente estuviese conduciendo vehículo automotor bajo el grado de
alcoholemia igual o superior al grado 1° o bajo el efecto de droga o sustancia que produzca dependencia física
https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 2/9
11/20/25, 9:04 PM LEY 1696 DE 2013
o síquica, y ello haya sido determinante para su ocurrencia, la pena se aumentará de las dos terceras partes al
doble, en la pena principal y accesoria.
Afecta la vigencia de: [Mostrar]
CAPÍTULO III
Medidas administrativas"
LEY 1696 DE 2013.pdf,3,,
LEY 1696 DE 2013.pdf,26,"de la Ley 769 de 2002, artículo modificado por el artículo","7° de la Ley 1383 de 2010, el cual quedará así:
Parágrafo. La suspensión o cancelación de la Licencia de Conducción implica la entrega obligatoria del
documento a la autoridad de tránsito competente para imponer la sanción por el periodo de la suspensión o a
partir de la cancelación de ella.
La resolución de la autoridad de tránsito que establezca la responsabilidad e imponga la suspensión o
cancelación de la licencia de conducción, deberá contener la prohibición expresa al infractor de conducir
vehículos automotores durante el tiempo que se le suspenda o cancele la licencia.
La notificación de la suspensión o cancelación de la licencia de conducción, se realizará de conformidad con las
disposiciones aplicables del Código de Procedimiento Administrativo y de lo Contencioso Administrativo.
Una vez se encuentre en firme la resolución de la autoridad de tránsito mediante la cual cancela la licencia de
conducción, por las causales previstas en los numerales 6° y 7° de este artículo, se compulsarán copias de la
actuación administrativa a la Fiscalía General de la Nación, para lo de su competencia.
Transcurridos veinticinco (25) años desde la cancelación, el conductor podrá volver a solicitar una nueva
licencia de conducción.
JURISPRUDENCIA [Mostrar]
Afecta la vigencia de: [Mostrar]"
LEY 1696 DE 2013.pdf,4,,
LEY 1696 DE 2013.pdf,131,"de la Ley 769 de 2002,",modificado por el
LEY 1696 DE 2013.pdf,21,de la Ley 1383 de 2010 así:,
LEY 1696 DE 2013.pdf,131,"Multas. Los infractores de las normas de tránsito serán sancionados con la imposición de multas,","de acuerdo con el tipo de infracción, así:
[...]
F. Conducir bajo el influjo del alcohol o bajo los efectos de sustancias psicoactivas. Esta conducta será
sancionada con las multas establecidas en el"
LEY 1696 DE 2013.pdf,152,de este Código. Si se trata de conductores de,"https://www.suin-juriscol.gov.co/viewDocument.asp?id=1686534&utm_source=chatgpt.com 3/9
11/20/25, 9:04 PM LEY 1696 DE 2013
vehículos de servicio público, de transporte escolar o de instructor de conducción, la multa y el período de
suspensión de la licencia se duplicarán. En todos los casos de embriaguez o alcoholemia el vehículo será
inmovilizado.
El estado de embriaguez o alcoholemia se establecerá mediante una prueba que no cause lesión, la cual será
determinada por el Instituto de Medicina Legal y Ciencias Forenses.
Afecta la vigencia de: [Mostrar]"
LEY 1696 DE 2013.pdf,5,,
LEY 1696 DE 2013.pdf,152,"de la Ley 769 de 2002, modificado por el",quedará así:
